"GeneFamily","ConsecutiveZeros","Trait"
"CFL1",8,"list_3"
"NFXL2",8,"list_3"
"HUB2",6,"list_3"
"HUB1",6,"list_3"
"ANL2",5,"list_3"
"CD2",5,"list_3"
"LTPG1",5,"list_3"
"HDG1",5,"list_3"
"LTPG2",4,"list_3"
"SHN2",3,"list_3"
"DCF",3,"list_3"
"GPAT4",3,"list_3"
"MYB41",3,"list_3"
"SHN1",3,"list_3"
"MYB106",3,"list_3"
"GPAT6",3,"list_3"
"DCR",3,"list_3"
"BDG1",3,"list_3"
"MYB16",3,"list_3"
"GPAT8",3,"list_3"
"SHN3",3,"list_3"
"CUS1",2,"list_3"
"CYP77A6",2,"list_3"
"CYP77A4",2,"list_3"
"CYP86A4",1,"list_3"
"CYP86A8",1,"list_3"
"CYP86A2",1,"list_3"
"LACS4",0,"list_3"
"ABCG13",0,"list_3"
"HOTHEAD",0,"list_3"
"ABCG11",0,"list_3"
"ABCG32",0,"list_3"
"LACS1",0,"list_3"
"LACS2",0,"list_3"
