cluster_id,major_gene,minor_gene,major_tpm,minor_tpm,ratio
TB2_DP1_HVA22_Ppa-Chr26_0,Pp3c26_3490,Pp3c26_3510,1408.8085664615528,594.8257611964385,2.3684390595791633
AAA_16_Ppa-Chr16_4_AAA_18_Ppa-Chr16_3_AAA_22_Ppa-Chr16_4_AAA_33_Ppa-Chr16_4_AAA_Ppa-Chr16_4_EF-hand_1_Ppa-Chr16_4_EF-hand_4_Ppa-Chr16_4_EF-hand_6_Ppa-Chr16_4_EF-hand_7_Ppa-Chr16_4_NB-ARC_Ppa-Chr16_4,Pp3c16_12190,Pp3c16_12220,1026.918007718107,0.0,inf
AAA_14_Ppa-Chr11_0_AAA_15_Ppa-Chr11_0_AAA_16_Ppa-Chr11_6_AAA_18_Ppa-Chr11_2_AAA_21_Ppa-Chr11_0_AAA_22_Ppa-Chr11_6_AAA_23_Ppa-Chr11_0_AAA_24_Ppa-Chr11_0_AAA_28_Ppa-Chr11_0_AAA_29_Ppa-Chr11_0_AAA_30_Ppa-Chr11_0_AAA_33_Ppa-Chr11_4_AAA_Ppa-Chr11_5_ABC_tran_Ppa-Chr11_2_ABC_tran_Xtn_Ppa-Chr11_0_Dynamin_N_Ppa-Chr11_1_MMR_HSR1_Ppa-Chr11_1_MnmE_helical_Ppa-Chr11_1_NACHT_Ppa-Chr11_1_RNA_helicase_Ppa-Chr11_1_Rad17_Ppa-Chr11_0_RsgA_GTPase_Ppa-Chr11_1_SRP54_Ppa-Chr11_2,Pp3c11_11200,Pp3c11_11190,950.3648976121225,13.420591983981296,70.813932704792
AWPM-19_Ppa-Chr11_0_DUF3382_Ppa-Chr11_0,Pp3c11_14880,Pp3c11_14870,857.6494114663933,2.277226382837752,376.62018055387125
Cystatin_Ppa-Chr09_0_SQAPI_Ppa-Chr09_0,Pp3c9_24090,Pp3c9_24080,771.8920638749115,205.68373386137978,3.7528104404946623
AAA_18_Ppa-Chr04_3_NB-ARC_Ppa-Chr04_4,Pp3c4_12390,Pp3c4_12460,416.05482044670157,0.17402764781457083,2390.7397799803307
AAA_14_Ppa-Chr20_0_AAA_15_Ppa-Chr20_0_AAA_16_Ppa-Chr20_2_AAA_18_Ppa-Chr20_1_AAA_21_Ppa-Chr20_0_AAA_22_Ppa-Chr20_2_AAA_23_Ppa-Chr20_0_AAA_24_Ppa-Chr20_0_AAA_28_Ppa-Chr20_0_AAA_29_Ppa-Chr20_0_AAA_30_Ppa-Chr20_0_AAA_33_Ppa-Chr20_1_AAA_5_Ppa-Chr20_0_AAA_Ppa-Chr20_1_AAA_assoc_Ppa-Chr20_0_ABC_tran_Ppa-Chr20_0_ABC_tran_Xtn_Ppa-Chr20_0_AIG1_Ppa-Chr20_0_ATP_bind_1_Ppa-Chr20_0_Adaptin_binding_Ppa-Chr20_0_Arf_Ppa-Chr20_0_CobW_C_Ppa-Chr20_0_DNA_pol3_delta2_Ppa-Chr20_0_DO-GTPase2_Ppa-Chr20_0_DUF2738_Ppa-Chr20_0_DUF815_Ppa-Chr20_0_Dynamin_N_Ppa-Chr20_0_EF-hand_1_Ppa-Chr20_2_EF-hand_4_Ppa-Chr20_2_EF-hand_6_Ppa-Chr20_3_EF-hand_7_Ppa-Chr20_3_EF_assoc_2_Ppa-Chr20_0_EHD_N_Ppa-Chr20_0_FeoB_N_Ppa-Chr20_0_G-alpha_Ppa-Chr20_0_GTP1_OBG_Ppa-Chr20_0_GTP_EFTU_D2_Ppa-Chr20_0_GTP_EFTU_D3_Ppa-Chr20_0_GTP_EFTU_Ppa-Chr20_0_Gtr1_RagA_Ppa-Chr20_0_Guanylate_kin_Ppa-Chr20_0_KH_2_Ppa-Chr20_0_KH_DOM-like_Ppa-Chr20_0_MMR_HSR1_Ppa-Chr20_0_MMR_HSR1_Xtn_Ppa-Chr20_0_MeaB_Ppa-Chr20_0_MnmE_helical_Ppa-Chr20_0_NACHT_Ppa-Chr20_0_NB-ARC_Ppa-Chr20_2_PduV-EutP_Ppa-Chr20_0_RNA_helicase_Ppa-Chr20_0_Rad17_Ppa-Chr20_0_Ras_Ppa-Chr20_0_Ribosomal_L14_Ppa-Chr20_0_Roc_Ppa-Chr20_0_RsgA_GTPase_Ppa-Chr20_0_RuvB_N_Ppa-Chr20_0_SRP54_Ppa-Chr20_0_SRPRB_Ppa-Chr20_0_Septin_Ppa-Chr20_0_TGS_Ppa-Chr20_0_TniB_Ppa-Chr20_0_YchF-GTPase_C_Ppa-Chr20_0_bpMoxR_Ppa-Chr20_0_cobW_Ppa-Chr20_0_eIF2_C_Ppa-Chr20_0,Pp3c20_15600,Pp3c20_15610,373.6938546834004,8.291477966792042,45.06963127443271
DnaJ_Ppa-Chr19_0,Pp3c19_10440,Pp3c19_10460,359.63540876580623,2.621169805799833,137.20416280167922
ATG22_Ppa-Chr24_0_Amidohydro_1_Ppa-Chr24_0_Amidohydro_3_Ppa-Chr24_0_BT1_Ppa-Chr24_0_Bac_luciferase_Ppa-Chr24_0_CheW_Ppa-Chr24_0_FPN1_Ppa-Chr24_0_FTR1_Ppa-Chr24_0_IU_nuc_hydro_Ppa-Chr24_0_LacY_symp_Ppa-Chr24_0_Lactamase_B_2_Ppa-Chr24_0_Lactamase_B_Ppa-Chr24_0_M20_dimer_Ppa-Chr24_0_MFS_1_Ppa-Chr24_0_MFS_1_like_Ppa-Chr24_0_MFS_2_Ppa-Chr24_0_MFS_3_Ppa-Chr24_0_MFS_4_Ppa-Chr24_0_MFS_5_Ppa-Chr24_0_Nodulin-like_Ppa-Chr24_0_OATP_Ppa-Chr24_0_PTR2_Ppa-Chr24_0_PUCC_Ppa-Chr24_0_Peptidase_M20_Ppa-Chr24_0_Peptidase_M23_Ppa-Chr24_0_RINGv_Ppa-Chr24_0_RMMBL_Ppa-Chr24_0_RNase_J_C_Ppa-Chr24_0_SPX_Ppa-Chr24_0_Spore_YunB_Ppa-Chr24_0_Sugar_tr_Ppa-Chr24_0_TRI12_Ppa-Chr24_0_UNC-93_Ppa-Chr24_0,Pp3c24_20800,Pp3c24_20780,356.06990574099547,24.502196418009998,14.53216273620561
DnaJ_Ppa-Chr23_0,Pp3c23_15410,Pp3c23_15370,319.26956969585865,0.9957872386043749,320.62026637670544
AWPM-19_Ppa-Chr04_0_DUF3382_Ppa-Chr04_0,Pp3c4_3450,Pp3c4_3440,311.74035740585816,0.21363476806387668,1459.2210819947059
MR_MLE_C_Ppa-Chr03_0_MR_MLE_N_Ppa-Chr03_0,Pp3c3_3140,Pp3c3_3160,311.0750794489815,7.3249690340378075,42.46776716781625
Myb_DNA-bind_4_Ppa-Chr15_0,Pp3c15_6530,Pp3c15_6550,291.9724700738703,0.044040398874042264,6629.650900958597
